Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS,Period_dt,Profit_Trend,Sales_Growth,Net_Profit_Growth
Mar-2023,2957,190,6,47,12,10,214,143,4.35,2023-03-01,Profit Declined,,
Jun-2023,3360,154,5,70,10,11,203,129,3.91,2023-06-01,Profit Declined,0.13628677713899218,-0.09790209790209792
Sep-2023,2293,37,2,71,11,12,85,36,1.11,2023-09-01,Profit Declined,-0.3175595238095238,-0.7209302325581395
Dec-2023,2626,-8,0,58,14,13,24,-28,-0.92,2023-12-01,Profit Declined,0.14522459659834275,-1.7777777777777777
Mar-2024,4203,152,4,54,21,12,174,111,3.52,2024-03-01,Profit Grew,0.6005331302361006,-4.964285714285714
Jun-2024,4921,394,8,80,10,13,452,335,10.1,2024-06-01,Profit Grew,0.17083035926719004,2.018018018018018
Sep-2024,2619,130,5,105,14,16,205,133,4.05,2024-09-01,Profit Declined,-0.4677910993700467,-0.6029850746268657
Dec-2024,3105,165,5,59,16,18,191,131,3.99,2024-12-01,Profit Declined,0.18556701030927836,-0.015037593984962405
Mar-2025,4768,301,6,80,23,14,343,236,7.28,2025-03-01,Profit Grew,0.5355877616747182,0.8015267175572518
Jun-2025,3939,153,4,82,14,18,203,141,4.24,2025-06-01,Profit Declined,-0.17386744966442957,-0.40254237288135597
Sep-2025,2347,34,1,65,20,24,54,32,1.04,2025-09-01,Profit Declined,-0.4041634932724042,-0.7730496453900709
Dec-2025,3071,145,5,22,31,21,116,84,2.57,2025-12-01,Profit Grew,0.30847890924584576,1.625
Mar-2026,4888,185,4,43,22,21,184,113,3.51,2026-03-01,Profit Grew,0.5916639531097363,0.34523809523809534
